freq,unit,tenure,c_birth,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,AT	: 	: 	: 	: 	34.2 	29.0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,BE	55.4 	50.5 	58.7 	62.9 	57.5 	55.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,BG	: 	: 	: u	: u	: u	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,CY	: 	: 	: 	: 	62.4 	55.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,CZ	: 	: 	60.5 	60.5 	59.5 	63.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,DE	: 	: 	35.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,DK	55.1 	58.2 	60.5 	49.7 	41.7 	53.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,EA18	: 	: 	52.2 e	: 	50.5 e	48.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,EA19	: 	: 	52.3 e	: 	50.6 e	48.8 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,EE	: 	: 	: 	80.8 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,EL	41.8 	: 	: 	: 	39.0 	49.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,ES	: 	: 	: 	: 	45.1 	39.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,EU27_2007	: 	: 	: 	: 	50.5 u	50.4 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,FI	: 	47.5 	39.6 	45.0 	50.8 	54.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,FR	: 	: 	61.3 	64.5 	55.8 	63.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,HU	: 	: 	75.5 	78.0 	78.3 	84.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,IE	65.1 	65.2 	58.9 	52.7 	49.4 	47.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,IS	: 	69.5 	71.0 	68.6 	68.3 	76.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,IT	: 	49.7 	54.7 	47.8 	46.3 	41.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,LT	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,LU	: 	: 	: 	: 	58.0 	56.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,LV	: 	: 	: 	: 	: u	97.1 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,MT	: 	: 	89.4 	75.7 	73.0 u	65.0 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,NL	: 	: 	51.6 	57.3 	63.9 	59.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,NO	81.0 	72.5 	71.7 	67.6 	73.3 	70.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,OWN,EU27_2007_FOR,F,Y18-54,PL	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
